,night.mmdd,site,count_small,count_medium-small,count_medium-large,count_large,bm_sqrt
0,611,WS1,7.54983443527075,8.602325267042627,2.0,2.23606797749979,87.67411248481504
1,620,WS1,6.244997998398398,6.324555320336759,2.6457513110645907,2.6457513110645907,87.86495319523024
2,628,WS1,5.291502622129181,4.795831523312719,2.6457513110645907,2.449489742783178,79.71198153351854
3,705,WS1,6.6332495807108,3.3166247903554,2.23606797749979,0.0,50.19960159204453
4,712,WS1,5.291502622129181,4.795831523312719,1.7320508075688772,0.0,49.01020301937138
5,720,WS1,4.47213595499958,3.1622776601683795,1.4142135623730951,0.0,36.29049462324811
6,724,WS1,3.872983346207417,2.449489742783178,2.0,1.0,47.193749586147526
7,802,WS1,3.872983346207417,2.23606797749979,1.0,0.0,25.927784324928346
8,816,WS1,6.48074069840786,3.7416573867739413,1.0,0.0,35.106979363083916
9,819,WS1,6.6332495807108,3.0,1.4142135623730951,0.0,36.45545226711637
10,904,WS1,5.477225575051661,2.6457513110645907,0.0,0.0,21.459263733874934
11,909,WS1,5.291502622129181,3.7416573867739413,1.0,0.0,34.55430508634199
12,923,WS1,5.0,3.0,1.0,0.0,30.26136150274802
13,930,WS1,2.8284271247461903,2.449489742783178,1.0,0.0,26.589471600616662
14,611,WS4,6.4031242374328485,6.082762530298219,2.0,2.449489742783178,77.86366289868465
15,628,WS4,3.3166247903554,3.872983346207417,1.7320508075688772,1.0,48.386465049639654
16,705,WS4,8.426149773176359,3.872983346207417,1.4142135623730951,1.4142135623730951,50.62854925829892
17,712,WS4,7.615773105863909,4.242640687119285,2.23606797749979,1.0,57.91804554713496
18,720,WS4,5.385164807134504,2.6457513110645907,1.0,0.0,28.613807855648993
19,724,WS4,7.280109889280518,3.872983346207417,0.0,0.0,30.91520661422142
20,819,WS4,5.385164807134504,3.3166247903554,0.0,0.0,25.95669470483482
21,904,WS4,6.6332495807108,3.0,1.0,0.0,31.11269837220809
22,909,WS4,5.291502622129181,3.7416573867739413,1.0,0.0,34.55430508634199
23,923,WS4,3.3166247903554,2.8284271247461903,1.0,0.0,28.692333470807146
24,930,WS4,2.449489742783178,3.4641016151377544,1.0,0.0,32.02342892321183
25,611,WS5,8.602325267042627,8.94427190999916,2.449489742783178,3.0,102.23257797786378
26,620,WS5,7.211102550927978,5.744562646538029,2.6457513110645907,2.0,78.2559901860554
27,628,WS5,5.830951894845301,5.0,2.0,1.4142135623730951,61.0204883625164
28,705,WS5,6.708203932499369,4.0,1.4142135623730951,0.0,41.3491233280707
29,712,WS5,7.0,4.123105625617661,1.7320508075688772,0.0,46.21417531450713
30,720,WS5,6.324555320336759,3.3166247903554,1.0,0.0,32.63433774416144
31,724,WS5,6.557438524302,4.47213595499958,1.4142135623730951,0.0,43.82065722921097
32,816,WS5,5.0990195135927845,4.0,1.0,0.0,36.00694377477767
33,819,WS5,6.082762530298219,3.7416573867739413,1.4142135623730951,0.0,39.7460689880144
34,923,WS5,3.7416573867739413,1.7320508075688772,1.0,0.0,23.695991222145572
35,930,WS5,3.0,2.23606797749979,0.0,0.0,17.168284713389397
36,628,WS6low,6.708203932499369,5.385164807134504,2.8284271247461903,1.7320508075688772,76.36589552935263
37,705,WS6low,7.280109889280518,4.795831523312719,2.6457513110645907,1.0,65.82362797658604
38,720,WS6low,4.123105625617661,2.23606797749979,1.0,0.0,26.033632093889626
39,724,WS6low,5.0,3.1622776601683795,1.0,0.0,31.140809238040042
40,802,WS6low,3.4641016151377544,3.0,1.0,0.0,29.664793948382652
41,904,WS6low,3.605551275463989,1.4142135623730951,0.0,0.0,11.989578808281799
42,909,WS6low,4.123105625617661,3.0,1.0,0.0,29.895651857753496
43,923,WS6low,4.0,2.8284271247461903,1.0,0.0,28.930952282978865
44,930,WS6low,1.7320508075688772,2.449489742783178,1.0,0.0,26.32964109136317
45,611,WS6up,5.385164807134504,6.4031242374328485,2.23606797749979,2.6457513110645907,83.81378168296668
46,620,WS6up,6.6332495807108,5.916079783099616,2.449489742783178,2.23606797749979,79.16438593205912
47,628,WS6up,4.358898943540674,3.4641016151377544,1.7320508075688772,1.0,46.917480750782005
48,705,WS6up,7.280109889280518,3.872983346207417,2.23606797749979,1.0,56.38040439727264
49,724,WS6up,3.4641016151377544,2.6457513110645907,2.0,0.0,43.069710934716056
50,802,WS6up,2.8284271247461903,1.4142135623730951,1.0,0.0,22.15851980616034
51,816,WS6up,3.4641016151377544,4.0,1.7320508075688772,0.0,44.49719092257398
52,923,WS6up,3.1622776601683795,2.6457513110645907,2.6457513110645907,0.0,54.152562266249234
